zip,lat,lng,city,state_id,state_name,timezone
00601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,America/Puerto_Rico
00602,18.36075,-67.17541,Aguada,PR,Puerto Rico,America/Puerto_Rico
00603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,America/Puerto_Rico
00606,18.16585,-66.93716,Maricao,PR,Puerto Rico,America/Puerto_Rico
00610,18.2911,-67.12243,Anasco,PR,Puerto Rico,America/Puerto_Rico
00611,18.27698,-66.80688,Angeles,PR,Puerto Rico,America/Puerto_Rico
00612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,America/Puerto_Rico
00616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,America/Puerto_Rico
00617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,America/Puerto_Rico
00622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,America/Puerto_Rico
00623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,America/Puerto_Rico
00624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,America/Puerto_Rico
00627,18.41905,-66.86037,Camuy,PR,Puerto Rico,America/Puerto_Rico
00631,18.1852,-66.83169,Castaner,PR,Puerto Rico,America/Puerto_Rico
00636,18.16354,-67.08014,Rosario,PR,Puerto Rico,America/Puerto_Rico
00637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,America/Puerto_Rico
00638,18.28462,-66.5137,Ciales,PR,Puerto Rico,America/Puerto_Rico
00641,18.26742,-66.70212,Utuado,PR,Puerto Rico,America/Puerto_Rico
00646,18.43251,-66.28429,Dorado,PR,Puerto Rico,America/Puerto_Rico
00647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,America/Puerto_Rico
00650,18.34487,-66.58347,Florida,PR,Puerto Rico,America/Puerto_Rico
00652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,America/Puerto_Rico
00653,17.99413,-66.90266,Guanica,PR,Puerto Rico,America/Puerto_Rico
00656,18.04186,-66.79123,Guayanilla,PR,Puerto Rico,America/Puerto_Rico
00659,18.41036,-66.79691,Hatillo,PR,Puerto Rico,America/Puerto_Rico
00660,18.13412,-67.11399,Hormigueros,PR,Puerto Rico,America/Puerto_Rico
00662,18.46622,-67.01508,Isabela,PR,Puerto Rico,America/Puerto_Rico
00664,18.21064,-66.59066,Jayuya,PR,Puerto Rico,America/Puerto_Rico
00667,18.01246,-67.0417,Lajas,PR,Puerto Rico,America/Puerto_Rico
00669,18.27019,-66.86727,Lares,PR,Puerto Rico,America/Puerto_Rico
00670,18.23782,-66.98852,Las Marias,PR,Puerto Rico,America/Puerto_Rico
00674,18.42229,-66.4891,Manati,PR,Puerto Rico,America/Puerto_Rico
00676,18.37897,-67.08098,Moca,PR,Puerto Rico,America/Puerto_Rico
00677,18.33535,-67.23155,Rincon,PR,Puerto Rico,America/Puerto_Rico
00678,18.42949,-66.93016,Quebradillas,PR,Puerto Rico,America/Puerto_Rico
00680,18.16307,-67.36122,Mayaguez,PR,Puerto Rico,America/Puerto_Rico
00682,18.22415,-67.15309,Mayaguez,PR,Puerto Rico,America/Puerto_Rico
00683,18.10926,-67.03803,San German,PR,Puerto Rico,America/Puerto_Rico
00685,18.33656,-66.97518,San Sebastian,PR,Puerto Rico,America/Puerto_Rico
00687,18.31707,-66.42029,Morovis,PR,Puerto Rico,America/Puerto_Rico
00688,18.3807,-66.62496,Sabana Hoyos,PR,Puerto Rico,America/Puerto_Rico
00690,18.49363,-67.09734,San Antonio,PR,Puerto Rico,America/Puerto_Rico
00692,18.40905,-66.33768,Vega Alta,PR,Puerto Rico,America/Puerto_Rico
00693,18.42633,-66.39811,Vega Baja,PR,Puerto Rico,America/Puerto_Rico
00694,18.48327,-66.39269,Vega Baja,PR,Puerto Rico,America/Puerto_Rico
00698,18.07274,-66.85519,Yauco,PR,Puerto Rico,America/Puerto_Rico
00703,18.24739,-66.13143,Aguas Buenas,PR,Puerto Rico,America/Puerto_Rico
00704,17.97442,-66.22888,Aguirre,PR,Puerto Rico,America/Puerto_Rico
00705,18.1294,-66.26653,Aibonito,PR,Puerto Rico,America/Puerto_Rico
00707,18.01752,-65.92127,Maunabo,PR,Puerto Rico,America/Puerto_Rico
00714,17.9981,-66.05635,Arroyo,PR,Puerto Rico,America/Puerto_Rico
00715,17.99738,-66.56104,Mercedita,PR,Puerto Rico,America/Puerto_Rico
00716,17.99942,-66.59868,Ponce,PR,Puerto Rico,America/Puerto_Rico
00717,18.00272,-66.61146,Ponce,PR,Puerto Rico,America/Puerto_Rico
00718,18.23145,-65.76067,Naguabo,PR,Puerto Rico,America/Puerto_Rico
00719,18.28879,-66.25316,Naranjito,PR,Puerto Rico,America/Puerto_Rico
00720,18.21559,-66.42421,Orocovis,PR,Puerto Rico,America/Puerto_Rico
00723,18.03139,-66.01122,Patillas,PR,Puerto Rico,America/Puerto_Rico
00725,18.22052,-66.03962,Caguas,PR,Puerto Rico,America/Puerto_Rico
00727,18.21142,-66.07374,Caguas,PR,Puerto Rico,America/Puerto_Rico
00728,18.00697,-66.65995,Ponce,PR,Puerto Rico,America/Puerto_Rico
00729,18.33524,-65.88677,Canovanas,PR,Puerto Rico,America/Puerto_Rico
00730,18.03256,-66.61384,Ponce,PR,Puerto Rico,America/Puerto_Rico
00731,18.09914,-66.63279,Ponce,PR,Puerto Rico,America/Puerto_Rico
00735,18.2525,-65.67534,Ceiba,PR,Puerto Rico,America/Puerto_Rico
00736,18.10736,-66.14994,Cayey,PR,Puerto Rico,America/Puerto_Rico
00738,18.31793,-65.66793,Fajardo,PR,Puerto Rico,America/Puerto_Rico
00739,18.17543,-66.16198,Cidra,PR,Puerto Rico,America/Puerto_Rico
00740,18.33251,-65.63419,Puerto Real,PR,Puerto Rico,America/Puerto_Rico
00741,18.16569,-65.75506,Punta Santiago,PR,Puerto Rico,America/Puerto_Rico
00745,18.3466,-65.81382,Rio Grande,PR,Puerto Rico,America/Puerto_Rico
00751,18.01205,-66.25871,Salinas,PR,Puerto Rico,America/Puerto_Rico
00754,18.1447,-65.97565,San Lorenzo,PR,Puerto Rico,America/Puerto_Rico
00757,17.9933,-66.39056,Santa Isabel,PR,Puerto Rico,America/Puerto_Rico
00765,18.12365,-65.43013,Vieques,PR,Puerto Rico,America/Puerto_Rico
00766,18.13039,-66.4757,Villalba,PR,Puerto Rico,America/Puerto_Rico
00767,18.07033,-65.89618,Yabucoa,PR,Puerto Rico,America/Puerto_Rico
00769,18.09459,-66.3607,Coamo,PR,Puerto Rico,America/Puerto_Rico
00771,18.18797,-65.86916,Las Piedras,PR,Puerto Rico,America/Puerto_Rico
00772,18.43048,-65.90377,Loiza,PR,Puerto Rico,America/Puerto_Rico
00773,18.34073,-65.72756,Luquillo,PR,Puerto Rico,America/Puerto_Rico
00775,18.31387,-65.28618,Culebra,PR,Puerto Rico,America/Puerto_Rico
00777,18.22365,-65.90904,Juncos,PR,Puerto Rico,America/Puerto_Rico
00778,18.26319,-65.97938,Gurabo,PR,Puerto Rico,America/Puerto_Rico
00780,18.09998,-66.57032,Coto Laurel,PR,Puerto Rico,America/Puerto_Rico
00782,18.22501,-66.22452,Comerio,PR,Puerto Rico,America/Puerto_Rico
00783,18.30348,-66.32851,Corozal,PR,Puerto Rico,America/Puerto_Rico
00784,18.00558,-66.13651,Guayama,PR,Puerto Rico,America/Puerto_Rico
00786,18.1357,-66.22881,La Plata,PR,Puerto Rico,America/Puerto_Rico
00791,18.14391,-65.81398,Humacao,PR,Puerto Rico,America/Puerto_Rico
00794,18.19934,-66.31179,Barranquitas,PR,Puerto Rico,America/Puerto_Rico
00795,18.05128,-66.49485,Juana Diaz,PR,Puerto Rico,America/Puerto_Rico
00802,18.34349,-64.9287,St Thomas,VI,Virgin Islands,America/St_Thomas
00820,17.7388,-64.70695,Christiansted,VI,Virgin Islands,America/St_Thomas
00830,18.33857,-64.73802,St John,VI,Virgin Islands,America/St_Thomas
00840,17.72649,-64.84717,Frederiksted,VI,Virgin Islands,America/St_Thomas
00850,17.72763,-64.79122,Kingshill,VI,Virgin Islands,America/St_Thomas
00851,17.74757,-64.78737,Kingshill,VI,Virgin Islands,America/St_Thomas
00901,18.46478,-66.10277,San Juan,PR,Puerto Rico,America/Puerto_Rico
00906,18.46446,-66.09499,San Juan,PR,Puerto Rico,America/Puerto_Rico
00907,18.45287,-66.08381,San Juan,PR,Puerto Rico,America/Puerto_Rico
00909,18.44131,-66.06866,San Juan,PR,Puerto Rico,America/Puerto_Rico
00911,18.45133,-66.05636,San Juan,PR,Puerto Rico,America/Puerto_Rico
00912,18.44503,-66.05995,San Juan,PR,Puerto Rico,America/Puerto_Rico
00913,18.45024,-66.04275,San Juan,PR,Puerto Rico,America/Puerto_Rico
00915,18.43673,-66.04576,San Juan,PR,Puerto Rico,America/Puerto_Rico
00917,18.4208,-66.04989,San Juan,PR,Puerto Rico,America/Puerto_Rico
00918,18.42139,-66.06774,San Juan,PR,Puerto Rico,America/Puerto_Rico
00920,18.41904,-66.09023,San Juan,PR,Puerto Rico,America/Puerto_Rico
00921,18.39206,-66.0871,San Juan,PR,Puerto Rico,America/Puerto_Rico
00923,18.41146,-66.03715,San Juan,PR,Puerto Rico,America/Puerto_Rico
00924,18.39987,-66.01344,San Juan,PR,Puerto Rico,America/Puerto_Rico
00925,18.40028,-66.05058,San Juan,PR,Puerto Rico,America/Puerto_Rico
00926,18.34691,-66.05434,San Juan,PR,Puerto Rico,America/Puerto_Rico
00927,18.38884,-66.07149,San Juan,PR,Puerto Rico,America/Puerto_Rico
00934,18.41372,-66.11998,Fort Buchanan,PR,Puerto Rico,America/Puerto_Rico
00949,18.43166,-66.21349,Toa Baja,PR,Puerto Rico,America/Puerto_Rico
00950,18.46201,-66.23917,Toa Baja,PR,Puerto Rico,America/Puerto_Rico
00951,18.43175,-66.25628,Toa Baja,PR,Puerto Rico,America/Puerto_Rico
00952,18.42874,-66.18897,Sabana Seca,PR,Puerto Rico,America/Puerto_Rico
00953,18.36319,-66.24764,Toa Alta,PR,Puerto Rico,America/Puerto_Rico
00956,18.32121,-66.17185,Bayamon,PR,Puerto Rico,America/Puerto_Rico
00957,18.36696,-66.18857,Bayamon,PR,Puerto Rico,America/Puerto_Rico
00959,18.3852,-66.15583,Bayamon,PR,Puerto Rico,America/Puerto_Rico
00960,18.41674,-66.14365,Bayamon,PR,Puerto Rico,America/Puerto_Rico
00961,18.40987,-66.16415,Bayamon,PR,Puerto Rico,America/Puerto_Rico
00962,18.43514,-66.13949,Catano,PR,Puerto Rico,America/Puerto_Rico
00965,18.42853,-66.11175,Guaynabo,PR,Puerto Rico,America/Puerto_Rico
00966,18.39784,-66.11394,Guaynabo,PR,Puerto Rico,America/Puerto_Rico
00968,18.40609,-66.10123,Guaynabo,PR,Puerto Rico,America/Puerto_Rico
00969,18.36696,-66.11,Guaynabo,PR,Puerto Rico,America/Puerto_Rico
00971,18.32067,-66.11751,Guaynabo,PR,Puerto Rico,America/Puerto_Rico
00976,18.33903,-65.99286,Trujillo Alto,PR,Puerto Rico,America/Puerto_Rico
00979,18.43734,-66.0089,Carolina,PR,Puerto Rico,America/Puerto_Rico
00982,18.40961,-65.99143,Carolina,PR,Puerto Rico,America/Puerto_Rico
00983,18.41788,-65.98104,Carolina,PR,Puerto Rico,America/Puerto_Rico
00985,18.40628,-65.94767,Carolina,PR,Puerto Rico,America/Puerto_Rico
00987,18.34115,-65.94257,Carolina,PR,Puerto Rico,America/Puerto_Rico
